fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
10/2/2020	3.323	lunes	7	10	febrero	2020	verano	no	no
11/2/2020	11.225	martes	7	11	febrero	2020	verano	no	no
12/2/2020	2.595	miercoles	7	12	febrero	2020	verano	no	no
13/2/2020	3.540	jueves	7	13	febrero	2020	verano	no	no
14/2/2020	9.925	viernes	7	14	febrero	2020	verano	no	no
15/2/2020	1.905	sabado	7	15	febrero	2020	verano	no	si
16/2/2020	1.142	domingo	7	16	febrero	2020	verano	no	si
17/2/2020	2.619	lunes	8	17	febrero	2020	verano	no	no
18/2/2020	1.426	martes	8	18	febrero	2020	verano	no	no
19/2/2020	3.184	miercoles	8	19	febrero	2020	verano	no	no
20/2/2020	4.293	jueves	8	20	febrero	2020	verano	no	no
21/2/2020	1.343	viernes	8	21	febrero	2020	verano	no	no
22/2/2020	6.233	sabado	8	22	febrero	2020	verano	no	si
23/2/2020	181	domingo	8	23	febrero	2020	verano	no	si
24/2/2020	1.389	lunes	9	24	febrero	2020	verano	no	no
25/2/2020	4.013	martes	9	25	febrero	2020	verano	no	no
26/2/2020	5.268	miercoles	9	26	febrero	2020	verano	no	no
27/2/2020	4.080	jueves	9	27	febrero	2020	verano	no	no
28/2/2020	3.091	viernes	9	28	febrero	2020	verano	no	no
29/2/2020	1.913	sabado	9	29	febrero	2020	verano	no	si
1/3/2020	4.422	domingo	9	1	marzo	2020	verano	no	si
2/3/2020	5.619	lunes	10	2	marzo	2020	verano	no	no
3/3/2020	3.430	martes	10	3	marzo	2020	verano	no	no
4/3/2020	6.649	miercoles	10	4	marzo	2020	verano	no	no
5/3/2020	1.966	jueves	10	5	marzo	2020	verano	no	no
6/3/2020	1.010	viernes	10	6	marzo	2020	verano	no	no
7/3/2020	3.113	sabado	10	7	marzo	2020	verano	no	si
8/3/2020	5.057	domingo	10	8	marzo	2020	verano	no	si
9/3/2020	8.145	lunes	11	9	marzo	2020	verano	no	no
10/3/2020	570	martes	11	10	marzo	2020	verano	no	no
11/3/2020	2.080	miercoles	11	11	marzo	2020	verano	no	no
12/3/2020	9.132	jueves	11	12	marzo	2020	verano	no	no
13/3/2020	2.250	viernes	11	13	marzo	2020	verano	no	no
14/3/2020	4.281	sabado	11	14	marzo	2020	verano	no	si
15/3/2020	3.875	domingo	11	15	marzo	2020	verano	no	si
16/3/2020	1.923	lunes	12	16	marzo	2020	verano	no	no
17/3/2020	531	martes	12	17	marzo	2020	verano	no	no
18/3/2020	3.805	miercoles	12	18	marzo	2020	verano	no	no
19/3/2020	1.642	jueves	12	19	marzo	2020	verano	no	no
20/3/2020	788	viernes	12	20	marzo	2020	verano	si	no
21/3/2020	2.305	sabado	12	21	marzo	2020	otoño	si	si
22/3/2020	936	domingo	12	22	marzo	2020	otoño	si	si
23/3/2020	711	lunes	13	23	marzo	2020	otoño	si	no
24/3/2020	618	martes	13	24	marzo	2020	otoño	si	no
25/3/2020	869	miercoles	13	25	marzo	2020	otoño	si	no
26/3/2020	779	jueves	13	26	marzo	2020	otoño	si	no
27/3/2020	1.378	viernes	13	27	marzo	2020	otoño	si	no
28/3/2020	668	sabado	13	28	marzo	2020	otoño	si	si
29/3/2020	1.552	domingo	13	29	marzo	2020	otoño	si	si
30/3/2020	1.268	lunes	14	30	marzo	2020	otoño	si	no
31/3/2020	1.164	martes	14	31	marzo	2020	otoño	si	no
